,date,d_pm10,location,cluster
0,2015-01-01,68.0,강남구,2
1,2015-01-02,29.29166667,강남구,2
2,2015-01-03,39.125,강남구,2
3,2015-01-04,39.125,강남구,2
4,2015-01-05,72.81818182,강남구,2
5,2015-01-06,43.29166667,강남구,2
6,2015-01-07,33.83333333,강남구,2
7,2015-01-08,43.58333333,강남구,2
8,2015-01-09,54.91666667,강남구,2
9,2015-01-10,37.5,강남구,2
10,2015-01-11,44.375,강남구,2
11,2015-01-12,43.75,강남구,2
12,2015-01-13,55.08333333,강남구,2
13,2015-01-14,67.125,강남구,2
14,2015-01-15,63.0,강남구,2
15,2015-01-16,85.20833333,강남구,2
16,2015-01-17,38.45833333,강남구,2
17,2015-01-18,32.16666667,강남구,2
18,2015-01-19,67.54166667,강남구,2
19,2015-01-20,47.45833333,강남구,2
20,2015-01-21,57.08333333,강남구,2
21,2015-01-22,46.83333333,강남구,2
22,2015-01-23,37.86956522,강남구,2
23,2015-01-24,53.16666667,강남구,2
24,2015-01-25,64.0,강남구,2
25,2015-01-26,40.54166667,강남구,2
26,2015-01-27,52.125,강남구,2
27,2015-01-28,45.875,강남구,2
28,2015-01-29,51.91666667,강남구,2
29,2015-01-30,40.16666667,강남구,2
30,2015-01-31,41.25,강남구,2
31,2015-02-01,31.83333333,강남구,2
32,2015-02-02,38.95652174,강남구,2
33,2015-02-03,61.58333333,강남구,2
34,2015-02-04,80.25,강남구,2
36,2015-02-06,54.54166667,강남구,2
37,2015-02-07,47.625,강남구,2
39,2015-02-09,36.25,강남구,2
42,2015-02-12,37.43478261,강남구,2
43,2015-02-13,32.375,강남구,2
44,2015-02-14,53.875,강남구,2
45,2015-02-15,78.79166667,강남구,2
46,2015-02-16,47.75,강남구,2
47,2015-02-17,66.66666667,강남구,2
48,2015-02-18,65.625,강남구,2
49,2015-02-19,66.20833333,강남구,2
50,2015-02-20,52.54166667,강남구,2
51,2015-02-21,26.41666667,강남구,2
55,2015-02-25,74.125,강남구,2
56,2015-02-26,35.875,강남구,2
57,2015-02-27,27.94736842,강남구,2
58,2015-02-28,43.08333333,강남구,2
61,2015-03-03,54.70833333,강남구,2
62,2015-03-04,40.27777778,강남구,2
63,2015-03-05,42.68181818,강남구,2
64,2015-03-06,48.75,강남구,2
65,2015-03-07,53.33333333,강남구,2
67,2015-03-09,76.04166667,강남구,2
68,2015-03-10,32.875,강남구,2
69,2015-03-11,41.375,강남구,2
70,2015-03-12,30.5,강남구,2
71,2015-03-13,57.6,강남구,2
72,2015-03-14,42.79166667,강남구,2
73,2015-03-15,49.29166667,강남구,2
77,2015-03-19,53.875,강남구,2
81,2015-03-23,59.86363636,강남구,2
82,2015-03-24,47.5,강남구,2
83,2015-03-25,43.54166667,강남구,2
84,2015-03-26,50.54166667,강남구,2
85,2015-03-27,56.79166667,강남구,2
86,2015-03-28,45.0,강남구,2
87,2015-03-29,70.29166667,강남구,2
90,2015-04-01,31.5,강남구,2
91,2015-04-02,23.45833333,강남구,2
92,2015-04-03,33.95454545,강남구,2
93,2015-04-04,17.04347826,강남구,2
94,2015-04-05,15.70833333,강남구,2
95,2015-04-06,59.16666667,강남구,2
96,2015-04-07,40.04166667,강남구,2
97,2015-04-08,27.125,강남구,2
98,2015-04-09,53.875,강남구,2
99,2015-04-10,58.29166667,강남구,2
100,2015-04-11,68.79166667,강남구,2
101,2015-04-12,52.33333333,강남구,2
