,date,d_pm10,location
0,2015-01-01,68.0,강남구
1,2015-01-02,29.29166667,강남구
2,2015-01-03,39.125,강남구
3,2015-01-04,39.125,강남구
4,2015-01-05,72.81818182,강남구
5,2015-01-06,43.29166667,강남구
6,2015-01-07,33.83333333,강남구
7,2015-01-08,43.58333333,강남구
8,2015-01-09,54.91666667,강남구
9,2015-01-10,37.5,강남구
10,2015-01-11,44.375,강남구
11,2015-01-12,43.75,강남구
12,2015-01-13,55.08333333,강남구
13,2015-01-14,67.125,강남구
14,2015-01-15,63.0,강남구
15,2015-01-16,85.20833333,강남구
16,2015-01-17,38.45833333,강남구
17,2015-01-18,32.16666667,강남구
18,2015-01-19,67.54166667,강남구
19,2015-01-20,47.45833333,강남구
20,2015-01-21,57.08333333,강남구
21,2015-01-22,46.83333333,강남구
22,2015-01-23,37.86956522,강남구
23,2015-01-24,53.16666667,강남구
24,2015-01-25,64.0,강남구
25,2015-01-26,40.54166667,강남구
26,2015-01-27,52.125,강남구
27,2015-01-28,45.875,강남구
28,2015-01-29,51.91666667,강남구
29,2015-01-30,40.16666667,강남구
30,2015-01-31,41.25,강남구
31,2015-02-01,31.83333333,강남구
32,2015-02-02,38.95652174,강남구
33,2015-02-03,61.58333333,강남구
34,2015-02-04,80.25,강남구
36,2015-02-06,54.54166667,강남구
37,2015-02-07,47.625,강남구
39,2015-02-09,36.25,강남구
42,2015-02-12,37.43478261,강남구
43,2015-02-13,32.375,강남구
44,2015-02-14,53.875,강남구
45,2015-02-15,78.79166667,강남구
46,2015-02-16,47.75,강남구
47,2015-02-17,66.66666667,강남구
48,2015-02-18,65.625,강남구
49,2015-02-19,66.20833333,강남구
50,2015-02-20,52.54166667,강남구
51,2015-02-21,26.41666667,강남구
55,2015-02-25,74.125,강남구
56,2015-02-26,35.875,강남구
57,2015-02-27,27.94736842,강남구
58,2015-02-28,43.08333333,강남구
61,2015-03-03,54.70833333,강남구
62,2015-03-04,40.27777778,강남구
63,2015-03-05,42.68181818,강남구
64,2015-03-06,48.75,강남구
65,2015-03-07,53.33333333,강남구
67,2015-03-09,76.04166667,강남구
68,2015-03-10,32.875,강남구
69,2015-03-11,41.375,강남구
70,2015-03-12,30.5,강남구
71,2015-03-13,57.6,강남구
72,2015-03-14,42.79166667,강남구
73,2015-03-15,49.29166667,강남구
77,2015-03-19,53.875,강남구
81,2015-03-23,59.86363636,강남구
82,2015-03-24,47.5,강남구
83,2015-03-25,43.54166667,강남구
84,2015-03-26,50.54166667,강남구
85,2015-03-27,56.79166667,강남구
86,2015-03-28,45.0,강남구
87,2015-03-29,70.29166667,강남구
90,2015-04-01,31.5,강남구
91,2015-04-02,23.45833333,강남구
92,2015-04-03,33.95454545,강남구
93,2015-04-04,17.04347826,강남구
94,2015-04-05,15.70833333,강남구
95,2015-04-06,59.16666667,강남구
96,2015-04-07,40.04166667,강남구
97,2015-04-08,27.125,강남구
98,2015-04-09,53.875,강남구
99,2015-04-10,58.29166667,강남구
100,2015-04-11,68.79166667,강남구
101,2015-04-12,52.33333333,강남구
102,2015-04-13,26.25,강남구
103,2015-04-14,21.95833333,강남구
104,2015-04-15,43.08333333,강남구
105,2015-04-16,77.66666667,강남구
106,2015-04-17,72.0,강남구
107,2015-04-18,62.83333333,강남구
108,2015-04-19,31.16666667,강남구
109,2015-04-20,13.73913043,강남구
110,2015-04-21,42.45833333,강남구
111,2015-04-22,72.75,강남구
112,2015-04-23,64.0,강남구
113,2015-04-24,76.5,강남구
114,2015-04-25,59.79166667,강남구
115,2015-04-26,59.25,강남구
116,2015-04-27,64.42857143,강남구
117,2015-04-28,48.5,강남구
118,2015-04-29,43.33333333,강남구
119,2015-04-30,32.52380952,강남구
120,2015-05-01,43.08333333,강남구
121,2015-05-02,36.83333333,강남구
122,2015-05-03,26.20833333,강남구
123,2015-05-04,51.5,강남구
124,2015-05-05,39.70833333,강남구
125,2015-05-06,47.70833333,강남구
126,2015-05-07,45.5,강남구
127,2015-05-08,53.375,강남구
128,2015-05-09,40.29166667,강남구
129,2015-05-10,41.58333333,강남구
130,2015-05-11,44.45833333,강남구
131,2015-05-12,35.25,강남구
132,2015-05-13,68.41666667,강남구
133,2015-05-14,58.04166667,강남구
135,2015-05-16,54.58333333,강남구
136,2015-05-17,54.75,강남구
137,2015-05-18,43.54166667,강남구
138,2015-05-19,51.04166667,강남구
139,2015-05-20,43.33333333,강남구
140,2015-05-21,43.875,강남구
141,2015-05-22,49.95833333,강남구
142,2015-05-23,45.95833333,강남구
143,2015-05-24,31.5,강남구
144,2015-05-25,40.54166667,강남구
145,2015-05-26,37.83333333,강남구
146,2015-05-27,35.95833333,강남구
147,2015-05-28,44.625,강남구
148,2015-05-29,48.70833333,강남구
149,2015-05-30,39.75,강남구
150,2015-05-31,35.66666667,강남구
151,2015-06-01,35.41666667,강남구
