,date,location,d_pm10,d_pm25,area
1,2015-01-01,강남구,68,17.60869565,동남
2,2015-01-02,강남구,29.29166667,14.04166667,동남
3,2015-01-03,강남구,39.125,21.875,동남
4,2015-01-04,강남구,39.125,21.875,동남
5,2015-01-05,강남구,72.81818182,39.91304348,동남
6,2015-01-06,강남구,43.29166667,20.04166667,동남
7,2015-01-07,강남구,33.83333333,13.66666667,동남
8,2015-01-08,강남구,43.58333333,19.79166667,동남
9,2015-01-09,강남구,54.91666667,28.58333333,동남
10,2015-01-10,강남구,37.5,20.91666667,동남
11,2015-01-11,강남구,44.375,21.70833333,동남
12,2015-01-12,강남구,43.75,23.95833333,동남
13,2015-01-13,강남구,55.08333333,29.91666667,동남
14,2015-01-14,강남구,67.125,35,동남
15,2015-01-15,강남구,63,35.95833333,동남
16,2015-01-16,강남구,85.20833333,49.41666667,동남
17,2015-01-17,강남구,38.45833333,21.5,동남
18,2015-01-18,강남구,32.16666667,16.33333333,동남
19,2015-01-19,강남구,67.54166667,34.875,동남
20,2015-01-20,강남구,47.45833333,23.79166667,동남
21,2015-01-21,강남구,57.08333333,28.79166667,동남
22,2015-01-22,강남구,46.83333333,26.20833333,동남
23,2015-01-23,강남구,37.86956522,24.26086957,동남
24,2015-01-24,강남구,53.16666667,29.30434783,동남
25,2015-01-25,강남구,64,36.04166667,동남
26,2015-01-26,강남구,40.54166667,24.875,동남
27,2015-01-27,강남구,52.125,28,동남
28,2015-01-28,강남구,45.875,19.04166667,동남
29,2015-01-29,강남구,51.91666667,25,동남
30,2015-01-30,강남구,40.16666667,20.70833333,동남
31,2015-01-31,강남구,41.25,18.79166667,동남
32,2015-02-01,강남구,31.83333333,17.54166667,동남
33,2015-02-02,강남구,38.95652174,22.17391304,동남
34,2015-02-03,강남구,61.58333333,31.375,동남
35,2015-02-04,강남구,80.25,49.29166667,동남
36,2015-02-05,강남구,98.58333333,57.29166667,동남
37,2015-02-06,강남구,54.54166667,29.41666667,동남
38,2015-02-07,강남구,47.625,24.95833333,동남
39,2015-02-08,강남구,103.125,25.41666667,동남
40,2015-02-09,강남구,36.25,16.29166667,동남
41,2015-02-10,강남구,99.04166667,48.45833333,동남
42,2015-02-11,강남구,93.25,48.45833333,동남
43,2015-02-12,강남구,37.43478261,15.56521739,동남
44,2015-02-13,강남구,32.375,16.45833333,동남
45,2015-02-14,강남구,53.875,29.04166667,동남
